광역자치단체명,축제명,축제유형,개최기간,개최장소
경기도,거북섬 사계절 축제,기타,5월중_ 10월중_ 12월중 (예정),시흥시 거북섬 일원
경기도,거북섬 해양축제,기타,7~8월중,시흥시 거북섬 및 웨이브파크 일원
경기도,제31회 물왕예술제,문화예술,5.10.~5.12,대야 비둘기공원_ 목감 산현공원
경기도,연성문화제,전통역사,7~8월중,연꽃테마파크일원
경기도,김포 도심축제,문화예술,10월 중,장기동 라베니체
경기도,해병대축제,문화예술,5월중,대명항 일원
경기도,2024 김포 아라마린 페스티벌,문화예술,6월 중,김포 아라마리나
경기도,월곶 저잣거리 축제,전통역사,9월 중,김포 월곶면 군하리
경기도,파주출판도시 어린이책잔치,문화예술,5. 4.~5. 6.,파주출판도시
경기도,헤이리 판 페스티벌,문화예술,10.05.~10.13.,헤이리 예술마을
경기도,제34회 율곡문화제,전통역사,10.12.~10.13.,파주이이유적지
경기도,파주북소리 축제,문화예술,10.18.~10.20.(예정),아시아출판문화정보센터
경기도,제19회 파주개성인삼축제,특산물,10.19.~10.20.,임진각광장
경기도,제28회 파주장단콩축제,특산물,11.22.~11.24.,임진각광장
경기도,제29회 남한산성문화제,문화예술,9월 말~10월 초(미정),남한산성도립공원
경기도,제27회 광주왕실도자기축제,문화예술,5.3.~5.15.(예정),곤지암도자공원
경기도,오리문화제,전통역사,5월 중,광명시민체육관
경기도,구름산예술제,문화예술,하반기,(미정)
경기도,광명동굴 대한민국 와인페스티벌,문화예술,9월(예정),광명동굴
경기도,2024 페스티벌 광명,문화예술,10월(예정),광명시민운동장
경기도,광명농악대축제,전통역사,10월 중,미정
경기도,광명동굴 빛 축제,문화예술,12월(예정),광명동굴
경기도,하남이성산성문화제,전통역사,9.28.~9.29,하남이성산성
경기도,군포철쭉축제,생태자연,4.20.~4.28.(예정),군포철쭉공원 초막골생태공원 등
경기도,제15회 오산 독산성문화재,전통역사,10.12.~10.13,고인돌공원 및 독산성 세마대지 일원
경기도,(가칭)오산 산타 마켓(제2회 오산 크리스마스 마켓),주민화합,11.22.~12.24.,오산역 광장 및 아름다로
경기도,제11회 야맥축제,주민화합,6월 중,오색시장
경기도,2024 양주! 드론봇 페스티벌,기타(산업축제),05.24.~05.26.,가납리비행장
경기도,2024 양주 회암사지 왕실축제,전통역사,05.10.~05.12.,회암사지 일원
경기도,2024 양주 천만송이 천일홍축제,생태자연,09.28.~09.29.,나리농원 일원
경기도,양주문화유산 야행,전통역사,09.27~09.29,양주관아지 일원
경기도,제38회 이천도자기축제,문화예술_ 전통역사_ 특산물(품)_ 기타(주민화합),04. 25. ~ 05. 06.,이천도자예술마을(예스파크)
경기도,제23회 이천쌀문화축제,문화예술_ 체험_ 전통역사_ 특산물_ 기타(주민화합 등),10. 16. ~ 10. 20.,이천시 농업테마공원
경기도,제10회 이천체험문화축제,기타(주민화합),04.13. ~ 04.14,이천도자예술마을(예스파크)
경기도,제8회 이천인삼축제,특산물,10.25 ~ 10.27,이천인삼판매센터
경기도,제28회 햇사레 장호원복숭아축제,특산물,9.20. ~ 9.22.,햇사레농산물산지유통센터
경기도,제25회이천백사산수유꽃축제,생태자연,3월말 ~ 4월초,산수유마을
경기도,제21회 설봉산 별빛축제,문화예술,07.13 ~ 08.10.,설봉공원
경기도,제14회 이천시평생학습축제,기타(평생학습 결과물 전시_ 체험_ 공연 등),9월 예정(9/7~9/8예정),설봉공원
경기도,2024 구리 유채꽃 축제,문화예술_ 생태자연,5월 중(3일),구리한강시민공원
경기도,2024 구리 코스모스 축제,문화예술_ 생태자연,10월 중(3일),구리한강시민공원
경기도,제2회 구리 빛 축제,문화예술,11월~12월 중(20일간),구리광장 및 돌다리사거리
경기도,제2회 구리문화예술축제,문화예술,10월중(2일),미정
경기도,동구릉 힐링예술제,문화예술,10월중(2일),동구릉
경기도,구구구페스타,문화예술,09.01.~09.30.,미정
경기도,제18회 구리시 평생학습축제,문화예술,10월중 (3일),구리한강시민공원 등 일원
경기도,제19회 구리전통시장 거리축제,문화예술,10월중,구리전통시장 일원
경기도,안성맞춤 남사당 바우덕이 축제,문화예술,10월 초,안성맞춤랜드
경기도,안성맞춤포도축제,특산물,9월 말~10월 초,서운면 일원
경기도,죽주대고려문화축제,전통역사,9월 말~10월 초,동안성시민복지센터
경기도,의왕철도축제,문화예술_ 생태자연, 5. 4.~5. 5.(예정),왕송호수 공원_ 철도박물관 등
경기도,의왕백운호수축제,생태자연_ 주민화합,9. 28.~9. 29.(예정),의왕 백운호수 주차장
경기도,2024 포천아트밸리 뮤직페스티벌 (PAMF),문화예술,05.26.~05.27.,포천아트밸리 일대
경기도,한탄강 지오 페스티벌,문화예술,미정,한탄강 비둘기낭 폭포 일원
경기도,제4회 포천 화적연 실경 창작 공연,문화예술,9월 중,화적연 일원
경기도,제27회 포천 산정호수 명성산 억새꽃 축제,문화예술,10.11.~10.27.,산정호수_ 명성산 일원
경기도,포천 인문學숲&북 페스티벌(가제),문화예술,05.24.~05.25.,포천종합운동장 (예정)
경기도,식품안전의 날,문화예술,2024.10월중,포천시 종합운동장
경기도,포천 축산 그랜드페스티벌,특산물,5.31.~6.2.,포천종합운동장 일원
경기도,백운계곡 동장군 축제,생태자연,24.12.23.~25.2.4.,백운계곡
경기도,포천 시민의날 축제,기타(주민화합 등),2024. 10.,포천종합운동장
경기도,제14회 용문산 산나물 축제,특산물,4.26.~4.28.,용문산 관광지
경기도,제4회 양강섬 예술축제 <페스티벌 다다>,문화예술,10.중,양강섬 일대
경기도,제2회 우리밀 축제,생태자연,06.06.~,지평면 일대
경기도,제2회 겨울엔양평,기타(경제활성화),24.12.~25.1.,양평군 일대
경기도,제36회 여주도자기축제,특산물,05.03.~05.12.(예정),신륵사관광단지
경기도,2024 여주오곡나루축제,특산물,10.18.~10.20.(예정),신륵사관광단지
경기도,제3회 여주선비장터축제,특산물_ 주민화합,10.12.~10.13.,가남 태평리 대신천변 일원
경기도,제8회여주흥천남한강벚꽃축제,생태자연,04.05.~04.07.,벚꽃축제장 귀백리산7번지일원
경기도,제18회 금사참외축제,특산물,05.24.~05.26.,금사근린공원 일원
경기도,제20회 산북품실축제,전통역사,10.26.~10.27.(예정),산북면 체육공원
경기도,제24회 동두천 락 페스티벌,문화예술,8월중,소요산주차장특설무대
경기도,제36회 소요단풍문화제,문화예술,10월중(예정),소요산야외음악당
경기도,제4회 DDC 할로윈 거리예술 축제,문화예술,10월말,보산동 관광특구
경기도,과천공연예술축제,문화예술,9.27.~9.29.,과천시 일원
경기도,청춘역1979 페스티벌,문화예술,9월 중,경기도도 가평군 청평면 청춘역 1979
경기도,제21회 자라섬 재즈페스티벌,문화예술,10.18.~10.20.,경기도도 가평군 가평읍 자라섬
경기도,2024 Colorful Garden 자라섬 꽃 페스타(봄),문화예술,5.25.~6.16.,경기도도 가평군 가평읍 자라섬
경기도,2024 Colorful Garden 자라섬 꽃 페스타(가을),문화예술,9.14.~10.27.,경기도도 가평군 가평읍 자라섬
경기도,제31회 연천 구석기 축제,전통역사,05.03.~05.06.,연천전곡리유적
경기도,2024 연천군 국화전시회,생태자연,10월중 예정,연천전곡리유적
경기도,제9회 연천장남 통일바라기 축제,생태자연,9월중 예정,연천 호로고루
경기도,제3회 연천당포성 별빛축제,생태자연,미정(하반기),연천 당포성
경기도,연천율무축제(연천농특산물큰장터),특산물,10월말 예정,연천전곡리유적
경기도,고려인삼축제,특산물,10월초 예정,연천전곡리유적
경기도,임진강 댑싸리공원전시,생태자연,09.01.~10.31.,댑싸리공원
강원도,춘천호수 드론 라이트쇼,문화예술 ,5월중,중도동 357-41 일대
강원도,춘천막국수닭갈비축제,특산물(먹거리),5월중,중도동 357-41 일대
강원도,2024 온세대 합창페스티벌,문화예술,8월중,춘천문화예술회관
강원도,2024 석사천 재즈 페스타,문화예술,10월중,석사천 일원
강원도,2024 춘베리아 특급열차,문화예술,12월중,미정
강원도,제45회 소양강문화제,문화예술,09.28.~09.29.,시청 호반광장
강원도,제36회 춘천인형극제,문화예술,08.01.~12.26.,춘천인형극장 및 춘천시내 일원
강원도,춘천 토이페스티벌,기타(관광),10월 중,서면 애니메이션박물관 일원
강원도,춘천마임축제,문화예술,05.26.~06.02,레고랜드 주차장_ 몸짓극장 등
강원도,춘천연극제,문화예술,6.28.~10.19.,봄내극장_ 석사천 등
강원도,제23회 섬강축제,생태자연,08.23.~08.25.,간현관광지 주차장
강원도,제18회 원주 용수골 꽃양귀비축제,생태자연,5월중 ,판부면 서곡리
강원도,제21회 장미축제,기타,05.29.~06.02.,단계동 장미공원
강원도,2024 원주 댄싱카니발,문화예술,10.03.~10.05.,원주 댄싱공연장 일원
강원도,제26회 원주한지문화제,문화예술,10.03.~10.06.,원주한지테마파크 일원
강원도,치악산 찰옥수수 축제,특산물,7월 중,문막체육공원
강원도,치악산 복숭아 축제,특산물,8월 중,댄싱공원장 일원
강원도,치악산 고구마 축제,특산물,11월 중,간현관광지 일원
강원도,2024 경포 벚꽃 축제,자연,03.29.~04.03.,경포대 및 경포호 일원
강원도,강남동 새봄맞이 축제,생태자연,03.31.~04.02.,남산 근린공원
강원도,솔올 동행축제,자연,3월 말 ~ 4월 초,솔올동행축제
강원도,강릉단오제,전통역사,06.06.~06.13.,강릉남대천 일원
강원도,제3회 강릉 비치비어페스티벌,기타,06.28.~06.30.,경포해변 중앙광장
강원도,풍호마을축제,기타,07.26.~07.28.,강동면 풍호길 100-1
강원도,2024 경포 썸머페스티벌,기타,07.31.~08.04.,경포해변
강원도,주문진 해변축제,특산물,08.02.~08.04.,주문진해변
강원도,강릉문화재야행,기타,09.05.~09.07.,강릉대도호부관아 일원
강원도,제2회 경포 등 축제,기타,09.14.~09.18.,강릉시 습지광장 및 경포대 일원
강원도,제16회 강릉커피축제,기타,10.03.~10.06.,강릉올림픽파크 일원
강원도,제3회 강릉 누들축제,특산물,10.25.~10.27.,월화거리
강원도,제3회 강릉와인축제,기타,11월중,강릉월화거리 일원
강원도,제4회 강릉크리스마스 겨울축제,기타,12.21.~12.25.,강릉월화거리 일원
강원도,2025 해돋이 행사,기타,12.31.~01.01.,경포해변_ 정동진
강원도,제11회 전천제,문화예술_ 주민화합,4월중,북평동 전천일원
강원도,동해항 크랩킹페스타,특산물,04.12.~04.14.,북평제2일반산업단지일원
강원도,제6회 묵호등대 논골담길 축제,문화예술,06.15.~06.16.,묵호항 수변공원
강원도,제2회 무릉별유천지 라벤더 축제,생태자연,06.04.~06.21.,무릉별유천지
강원도,묵호도째비페스타,특산물,07.12.~07.14.,묵호항여객터미널일원
강원도,제4회 송정막걸리 축제,기타(주민화합 등),9월중,송정동 관내 일원
강원도,동해무릉제,주민화합,09.27.~09.28.,동해웰빙스포츠타운일원
강원도 ,제 31회 태백산 눈축제 ,생태자연 ,2024.1.26.~2.4.,태백산국립공원일원 
강원도 ,한강낙동강발원지 축제 ,문화예술 ,7월중,황지연못 일원 
강원도 ,태백제 ,주민화합,10월중,태백종합운동장 
강원도 ,태백 천상의 산나물축제,생태자연 ,04.26.~04.28.,장성문화복합센터
강원도,설악벚꽃축제,생태자연,03.30.~03.31.,상도문솥밭
강원도,2024 영랑호 벚꽃축제,생태자연,04.06.~04.07.,영랑호 일원
강원도,2024 실향민문화축제,문화예술,6월 초,엑스포 잔디광장_ 아바이마을
강원도,2024 속초썸머페스티벌,문화예술,7~8월 ,속초해수욕장
강원도,2024 속초음식축제,특산물,10월 중순,엑스포타워 광장
강원도,제59회 설악문화제,문화예술,10.04.~10.06.,설악로데오거리. 엑스포 잔디광장
강원도,속초시민 새해맞이 축제,문화예술,12.31.~25.01.01.,엑스포 광장_ 속초해수욕장
강원도,삼척정월대보름제,전통역사,02.23.~02.25.,엑스포광장 및 삼척해수욕장 일원
강원도,제20회삼척맹방유채꽃축제,생태자연,04.06.~04.14.,근덕면 상맹방리 일원
강원도,2024 삼척 장미축제,생태자연,05.18.~05.22.,삼척 장미공원
강원도,제11회 두타산 산나물축제,기타(주민화합 등),05.24.~05.26.,하장면 번천리 임산물복합체험센터 일원
강원도,제15회 삼척평생학습박람회 및 제5회 책축제,기타(박람회 등),10.19.~10.20.,삼척문화예술회관 및 삼척시청소년수련관 일원
강원도,제12회 홍천강 꽁꽁축제,전통역사,01.05.~01.21.,홍천강변 일원
강원도,제8회 홍천강 별빛음악 맥주축제,특산물,8월초,토리숲 일원
강원도,제6회 홍천산나물축제,특산물,4월말,홍천시내 및 강변일원
강원도,제28회 홍천찰옥수수축제,특산물,7월말,홍천시내 및 강변일원
강원도,제22회 강원도홍천 인삼한우 명품축제,특산물,10월초,홍천시내 및 강변일원
강원도,제9회 홍천사과축제,특산물,11월초,홍천시내 및 강변일원
강원도,제13회 둔내고랭지토마토축제,특산물,8월중,둔내종합체육공원
강원도,제11회 횡성더덕축제,특산물,9월중,농거리축제장
강원도,제16회 안흥찐빵축제,특산물,10월중,안흥찐빵모락모락마을
강원도,제20회 횡성한우축제,특산물,10월중,종합운동장 일원
강원도,제5회 횡성호수길축제,생태자연,5월중,망향의 동산 일원
강원도,제35회 회다지민속문화제,전통역사,4월중,정금민속관일원
강원도,제5회 태종노구문화제,전통역사,10월중,각림복지회관일원
강원도,제2회 소(牛)맥 프리미엄 페스티벌,기타(체육 등),8월중,베이스볼파크 일원
강원도,단종문화제,전통역사,04.26.~04.28.,장릉_ 동강둔치 외
강원도,동강국제사진제,문화예술,07.12.~09.29.,동강사진박물관
강원도,동강뗏목축제,문화예술,08.02.~08.04.,동강둔치
강원도,김삿갓문화제,전통역사,10.11.~10.13.,김삿갓문학관
강원도,제16회 평창송어축제,특산물,`24.12.27.~`25.2.2.,진부면 오대천 일원
강원도,제30회 대관령눈꽃축제,생태자연,01.27.~02.11.,대관령면 송천 일원
강원도,2024 계촌클래식축제,문화예술,05.15.~05.19.,방림면 계촌리 일원
강원도,2024 평창더위사냥축제,생태자연,07.26.~08.04.,대화면 땀띠공원 일원
강원도,2024 평창효석문화제,문화예술,09.06.~09.18.,봉평면 효석문화마을 일원
강원도,2024 평창농악축제,전통역사,09.13.~09.18.,용평면 갈정지길 일원
강원도,2024 평창백일홍축제,생태자연,09.13.~09.22.,평창읍 제방길 일원
강원도,제18회 정선 동강할미꽃 축제,생태자연,03.29.~03.31.,정선읍 귤암리 동강할미꽃 서식지 일원
강원도,함백산야생화축제,생태자연,07.29~08.06.,고한읍 만항재 일원
강원도,제28회 사북석탄문화제,문화예술,07.25.~07.28.,사북읍
강원도,제33회 사북읍민의 날,기타(주민화합),10.18.,사북읍
강원도,두위봉 철쭉축제,생태자연,6월중,방제리 단곡계곡
강원도,고성산성문화제,전통역사,10월말,고성2리 고방정
강원도,제32회 화암약수제,기타(주민화합 등),04.26.~04.27.,화암시가지일원
강원도,민둥산은빛억새축제,생태자연,09.20.~11.03.,민둥산일원
강원도,제32회 아우라지뗏목축제,문화예술,08.02.~08.4.,아우라지광장
강원도,2024 정선토속음식 축제,기타,4월중,북평면 나전역 일원
강원도,항골 숨바우길 트레킹 대회,기타,10월중,북평면 항골계곡 일원
강원도,나전역 어게인 1979(가칭),기타,10월중,북평면 나전역앞 시장골목길
강원도,제49회 정선아리랑제,전통역사,10.02.~10.05.,정선 공설운동장
강원도,제13회 철원 한탄강 얼음트레킹 축제,생태자연,25.01월초,철원 한탄강 물윗길 트레킹 코스 일원
강원도,제18회 철원 화강 다슬기 축제,생태자연,08.01.~08.04.,화강쉬리공원 및 김화생활체육공원 일원
강원도,제42회 태봉제,기타,10.03.~10.05.,철원종합운동장 일원
강원도,제19회 산천어축제,문화예술,01.06.~01.28.,화천군 화천천 일원
강원도,제20회 화천토마토축제,특산물,08.01.~08.04.,화천군 사내면 사창리 일원
강원도,2024 청춘양구 곰취축제,특산물,05.03.~05.06.,양구읍서천레포츠공원
강원도,2024 도솔산지구전투전승행사,전통역시,06.14.~06.15.,양구종합운동장 일원
강원도,2024 국토정중앙 청춘양구 배꼽축제,문화예술,08.30.~09.01.,양구읍서천레포츠공원
강원도,제39회 양록제,기타,10.10.~10.12.,양구종합운동장 일원
강원도,2024 청춘양구 펀치볼 시래기 사과 축제,특산물,10.26.~10.27.,해안면 성황지 일원
강원도,국토정중앙 양구 보름달축제,문화예술,09.16.~09.17.,국토정중앙천문대 일원
강원도,제6회 인제가을꽃축제,생태자연,10월중,북면 용대관광지 일원
강원도,제24회 용대황태축제,지역특산물,5월중,북면 용대삼거리 일원
강원도,제42회 합강문화제,문화예술,10월중,인제군 일원
강원도,2024 봉포리 죽도 하트썸 축제,기타(주민화합),7월중,해풍공원 일원
강원도,삼포해변 서핑축제,기타(체험행사),7월중,삼포해변
강원도,해안선 레저스포츠 페스티벌,기타(체험행사),8월중,봉수대 해수욕장
강원도,제42회 군민의 날 및 수성문화제,전통역사,9월중,고성종합운동장 일원
강원도,제24회 고성통일명태축제,전통역사,10월 중,거진11리 해변
강원도,아기연어 보내기 체험행사,생태자연,3~4월 중,양양 남대천
강원도,양양송이연어축제,특산물_ 생태자연,9~10월 중,양양 남대천
충청북도,청주읍성축제,전통역사,09.08.~09.10.,중앙공원 및 성안동 일원
충청북도,청원생명축제,특산물,10.06.~10.15.,오창읍 미래지농촌테마공원
충청북도,세종시대왕과 초정약수축제,역사문화,10.20.~10.22.,초정문화공원_ 초정행궁 일원
충청북도,벚꽃과함께 하는 푸드트럭 축제,기타,3월중,서원구 무심서로 일원
충청북도,청주 디저트베이커리페스타,기타,09.23.~09.24.,미정
충청북도,청주 문화유산 야행,전통역사,08.25.~08.27.,중앙공원 및 성안동 일원
충청북도,충주다이브페스티벌,문화관광,05.30.~06.02.,충주종합운동장
충청북도,제39회 수안보온천제,기타,04.12.~04.14.,수안보 물탕공원 일원
충청북도,우륵문화제, 문화예술,10.03.~10.07.,탄금공원
충청북도,2023충주씨브랜드패스티벌,특산물,10월 중,충주 탄금공원
충청북도,제28회 청풍호 벚꽃축제,생태자연,4월중,청풍면 일원
충청북도,제천 문화유산 야행,전통역사,08.30.~09.01.,의림지 일원
충청북도,2024년 제천 수제맥주&달빛야시장 축제,기타,9월중,문화의거리 일원
충청북도,제20회 제천국제음악영화제,문화예술,9월중,제천시 일원
충청북도,제3회 의림지 농경문화 예술제,문화예술,10.11.~10.13.,의림지 일원
충청북도,슬로시티 힐링 축제,문화예술,10월중,수산면 일원
충청북도,2024 보은 벚꽃길 축제,생태자연,04.05.~04.07.,보청천 일원
충청북도,2024 속리산 축제,전통역사,5~6월중,속리산잔디공원_법주사
충청북도,2024 보은대추축제,특산물,10.11.~10.20.,뱃들공원 일원
충청북도,제37회 지용제,문화예술,05.17.~05.19.,정지용생가 및 구읍 일원
충청북도,제22회 옥천묘목축제,특산물,03.29.~03.31.,옥천묘목공원
충청북도,제15회 옥천참옻축제,특산물,4월중, 미정
충청북도,제15회 향수옥천 포도복숭아축제,특산물,08.02.~08.04.,옥천공설운동장 일원
충청북도,2024 영동곶감축제,특산물,01.19.~01.21.,영동 하상주차장일원
충청북도,제13회 대한민국와인축제,특산물,05.09.~05.12.,영동 하상주차장일원
충청북도,2024 영동포도축제,특산물,08.29.~09.01.,영동 레인보우힐링관광지 일원
충청북도,제55회 영동난계국악축제,문화예술,10.10.~10.13.,영동 레인보우힐링관광지 일원
충청북도,증평인삼골축제,특산물,10월중,증평보강천체육공원 일원
충청북도,증평들노래축제,전통역사,6월중,증평민속체험박물관일원
충청북도,제24회 생거진천 농다리축제,전통역사,4월중,진천군 문백면 농다리 일원
충청북도,제45회 생거진천 문화축제,문화예술,10월중,진천군 진천읍 백곡천 일원
충청북도,괴산빨간맛페스티벌,생태자연,5월중,유기농엑스포광장 및 동진천 하상 일원
충청북도,괴산고추축제,특산품,9월중,유기농엑스포광장
충청북도,괴산김장축제,특산품,11월중,괴산종합운동장
충청북도,제25회 음성품바축제,문화예술,05.22.~05.26.,설성공원
충청북도,제43회 설성문화제,전통역사,9~10월중,설성공원
충청북도,2024 음성명작페스티벌,특산물,8~9월중,금빛근린공원
충청북도,제40회 단양 소백산철쭉제,생태자연,05.23.~05.26.,소백산 일원
충청북도,제26회 단양 온달문화축제,전통역사,10.03.~10.06.,영춘면 온달관광지 일원
충청남도,천안흥타령춤축제 2024,문화예술,2024.9.25.~9.29.(5일간),천안종합운동장일원 
충청남도,천안위례벚꽃축제,생태자연,4월중,은석초 및 병천천 일원
충청남도,입장거봉포도축제,특산물,9월중,입장거봉포도휴게소
충청남도,겨울공주 군밤축제,지역특산물,1월말,금강신관공원 일원
충청남도,공주 석장리 구석기축제,전통역사,5월초,석장리박물관
충청남도,유구색동수국정원 꽃축제,생태자연,6월말,유구천
충청남도,계룡산산신제,전통역사,4월말,신원사 일원
충청남도,마곡사 신록축제,문화예술,5월초,마곡사 일원
충청남도,갑사황매화축제,생태자연,4월말,갑사 일원
충청남도,공주항공축제,생태자연,10월초,공주경비행장
충청남도,제70회 백제문화제,전통역사,9월말,금강신관공원 일원
충청남도,구절산 구절초 축제,생태자연,10월초,구룡사 일원
충청남도,무창포 주꾸미.도다리 축제,특산물,3월 중,무창포해수욕장 잔디광장
충청남도,오천항 키조개 축제,특산물,5월 중,오천항 일원
충청남도,대천항 수산물 축제,특산물,5월 중,대천항 일원
충청남도,2024 보령.AMC 국제 모터페스티벌,테마,5. 4. ~ 5. 6.,머드엑스포광장
충청남도,제27회 보령머드축제,기타,7. 19. ~8. 4.,머드엑스포광장
충청남도,무창포 신비의 바닷길 축제,문화관광,9월 중,무창포 해수욕장 일원
충청남도,무창포 대하전어 축제,특산물,9월 중,무창포 해수욕장 일원
충청남도,대천해수욕장 조개구이 축제,특산물,9월 중,머드광장 일원
충청남도,원산도 · 효자도 붕장어 축제,특산물,10월 초,원산도 선촌항 일원
충청남도,청라은행마을축제,기타,10월 말,청라면 신경섭 가옥 및 정촌유기농원 일대
충청남도,보령 김축제,특산물,11월 초,대천해수욕장 머드광장
충청남도,천북 굴축제,특산물,12월 초,천북 굴단지 일원
충청남도,고대도 칼 귀츨라프 선교 기념행사,문화관광,7. 24. ~ 7. 30.,고대도 일원
충청남도,찾아가는 계절축제,문화예술,4월 중 / 7월 중 / 10월 중 / 11월 말 (연4회 계절별 축제 진행),미정 (신정호_ 지산공원 등 아산의 사계절을 느낄 수 있는 명소 중 선정 예정)
충청남도,역사문화 페스티벌,전통역사,9월 중 2일간 예정,아산시 도고면_ 선장면 일원
충청남도,공연예술제,문화예술,5월 중,미정
충청남도,아트밸리 아산 제63회 성웅 이순신축제,문화예술,4월 말,이순신종합운동장_ 곡교천_ 현충사_ 은행나무길_ 온양온천역
충청남도,락페스티벌,문화예술,8월 중,신정호 야외음악당
충청남도,별빛음악제,문화예술,8월 중,신정호 야외음악당
충청남도,아트밸리 아산 제2회 JAZZ 페스타,문화예술,10월 중,신정호 야외음악당
충청남도,설화예술제,문화예술,10월 초,신정호 야외음악당(예정)
충청남도,서산해미읍성축제,전통역사,10월 ,해미읍성 내
충청남도,서산국화축제,생태자연,11월,서산시 고북면 복남골길 31-1 일원 서산국화축제장
충청남도,팔봉산감자축제,특산물축제,6월,팔봉산 어울림마당 일원
충청남도,서산6쪽마늘축제,특산물축제,7월,해미읍성 내
충청남도,해미벚꽃축제,생태자연,4월,해미천 인근
충청남도,류방택 별축제,전통역사과학,6월,류방택천문기상과학관
충청남도,왕산포갯마을축제,수산물 지역축제 및 체험행사,5월,미정
충청남도,삼길포우럭축제,수산물 지역축제 및 체험행사,8월,대산읍 삼길포항 일원
충청남도,서산감태낙지축제,수산물 지역축제 및 체험행사,10월,미정
충청남도,간월도어리굴젓축제,수산물 지역축제 및 체험행사,10월,간월도 항
충청남도,논산딸기축제,특산물,3월 초 4일 개최,논산시민가족공원
충청남도,논산연산대추문화축제,특산물,10월 중 3일 개최,논산시 연산면 일원
충청남도,논산강경젓갈축제,특산물,10월 중 4일 개최,논산 강경읍 둔치 일원
충청남도,논산양촌곶감축제,특산물,12월 초 3일 개최,논산 양촌면 체육공원 일원
충청남도,2024계룡軍문화축제,문화예술,10월 초순,계룡대 비상활주로 
충청남도,향적산 봄나들이,문화예술,3월 말 ~ 4월 초,계룡시 향한리 일원
충청남도,사계문화제,전통문화,4월말,사계고택
충청남도,면천진달래민속축제,전통역사,4월 중순,면천읍성 일원
충청남도,순성벚꽃축제,생태자연,4월 중순,갈산리 특설무대 일원
충청남도,기지시줄다리기민속축제,전통역사,4월 중순,기지시줄다리기박물관 일원
충청남도,순성왕매실&당진맥주축제,특산물,6월 중순,순성왕매실마을 및 순성브루어리 일원
충청남도,당진합덕연꽃축제,생태자연,7월 중순,합덕제 일원
충청남도,심훈상록문화제,전통역사,9월 말,당진 문예의전당 일원
충청남도,삽교호조개구이홍보행사,특산물,10월 초,삽교호관광지 일원
충청남도,남이흥장군문화제,전통역사,10월 말,당진시내 및 충장사 일원
충청남도,왜목마을해넘이해돋이소원제,생태자연,12.31~1.1.,왜목마을관광지일원
충청남도,재42회 금산세계인삼축제,특산물,09.27.~10.07.,금산인삼관 광장 및 인삼약초거리일원
충청남도,제4회 금산삼계탕축제,특산물,7월 중,금산인삼관 광장 및 인삼약초거리일원
충청남도,2023년 비단고을 산꽃축제,생태자연,4월 중,산꽃벚꽃오토캠핑장(보곡산골)
충청남도,제13회 금산천 봄꽃축제,주민화합,4월 중,금산읍 금산천 둔치
충청남도,제13회 남일면 홍도화축제,주민화합,4월 중,남일면 신정리 홍도마을
충청남도,제22회 부여서동연꽃축제,문화예술,07.05.~07.07.,서동공원(궁남지) 일원
충청남도,제70회 백제문화제,전통역사,9~10월중(미정),(미정)
충청남도,2024년 제19회 부여 굿뜨래 알밤축제,특산물,10~11월중(미정),온라인 축제
충청남도,2024년 백제고도부여국화축제,생태자연,10~11월중(미정),(미정)
충청남도,부여 세도 방울토마토 유채꽃 축제,특산물,4월 중,(미정)
충청남도,동백꽃 주꾸미 축제,특산물,3월 중,서면 마량진항
충청남도,자연산 광어 도미 축제,특산물,5월 중,서면 마량진항
충청남도,꼴뚜기 갑오징어 축제,특산물,5월 중,장항항 물양장
충청남도,제34회 한산모시문화제,문화예술,6월 7일~9일,한산모시관 일원
충청남도,춘장대해수욕장 여름문화예술 축제,문화예술,7월 말~8월 초,서면 도둔리 춘장대해수욕장 일원
충청남도,제2회 장항 맥문동 꽃 축제,기타,8월 23일~27일(예정),장항 송림산림욕장
충청남도,홍원항 전어 꽃게 축제,특산물,9월 중,서면 홍원항
충청남도,자하(젓새우) 축제,특산물,9월 중,마서면 일원
충청남도,서천군 평생학습한마당,기타,10월 초~중반,봄의 마을 광장 일원
충청남도,판교 도토리묵 축제,특산물,10월 중순 개최,판교면 현암리 149-9번지 일원
충청남도,서천철새여행,생태자연,11월 중,조류생태전시관 일원
충청남도,2024 서천 마량진항 해넘이 해돋이 행사,기타,12월 31일~1월1일, 서천 마량진항
충청남도,칠갑산장승문화축제,문화예술,4월 중,칠갑산장승공원일대
충청남도,고추구기자 문화축제,특산물,9월 초,청양읍 백세건강공원 일원
충청남도,홍성남당항 새조개축제,특산물,1.20.~2.11.,남당항 해양분수공원
충청남도,홍성남당항 바다송어축제,특산물,4월 중,남당항 해양분수공원
충청남도,구항벚꽃한우축제,생태자연,4월 중,구항면
충청남도,홍성역사인물축제,전통역사,미정,홍주읍성
충청남도,홍성남당항 대하축제,특산물,9월 중,남당항 해양분수공원
충청남도,광천김토굴새우젓 대축제,특산물,10월 중,광천전통시장
충청남도,홍성사랑국화축제,생태자연,10월 중,홍주읍성
충청남도,홍성군 가족축제,문화예술,10월 중,홍주읍성
충청남도,글로벌 바베큐 페스티벌 in홍성,특산물,11월 중,홍주읍성
충청남도,제51회 윤봉길 평화축제,역사인물,4월~5월 중,덕산면 충의사 일원
